0, 0, 22185, 44374, -1, -1, -1, -1
1, 6.20549, 696, 1396, -1, -1, -1, -1
2, 2.41228, 59786, 332427, -1, -1, -1, -1
3, 1.8238, 66253, 366539, 1.56742e+06, 89.2191, 0, -1
7, 4.93523, 59204, 328586, 146.52, 4.08043, -1, -1
6, 0.165932, 59204, 328586, 146.52, 4.08043, -1, -1
7, 1.99429, 59204, 328586, 146.52, 4.08043, -1, -1
8, 0.732065, 59204, 328043, 73.9808, 4.02386, -1, -1
9, 0.600192, 59204, 328043, 49.9455, 3.99305, -1, -1
6, 0.152633, 59204, 328043, 49.9455, 3.99305, -1, -1
7, 3.07, 58941, 326601, 43.8197, 3.98775, -1, -1
8, 0.741766, 58941, 326547, 35.0814, 3.98356, -1, -1
9, 0.537946, 58941, 326547, 33.3428, 3.97607, -1, -1
6, 0.223004, 58941, 326547, 33.3428, 3.97607, -1, -1
7, 2.64242, 58866, 326126, 33.3428, 3.9756, -1, -1
8, 0.874566, 58866, 326102, 33.3428, 3.97437, -1, -1
9, 0.651628, 58866, 326102, 32.8535, 3.97011, -1, -1
6, 0.160491, 58866, 326102, 32.8535, 3.97011, -1, -1
7, 2.48564, 58826, 325869, 32.8535, 3.96969, -1, -1
8, 0.701701, 58826, 325860, 23.8828, 3.96858, -1, -1
9, 0.803658, 58826, 325860, 21.7047, 3.96521, -1, -1
6, 0.209499, 58826, 325860, 21.7047, 3.96521, -1, -1
7, 2.69268, 58804, 325728, 21.7047, 3.96528, -1, -1
8, 0.727882, 58804, 325721, 21.7047, 3.9648, -1, -1
9, 0.425274, 58804, 325721, 21.7047, 3.96221, -1, -1
6, 0.16338, 58804, 325721, 21.7047, 3.96221, -1, -1
7, 2.4837, 58784, 325604, 21.7047, 3.96224, -1, -1
8, 0.721058, 58784, 325603, 21.7047, 3.96188, -1, -1
9, 0.433979, 58784, 325603, 21.7047, 3.95957, -1, -1
6, 0.152264, 58784, 325603, 21.7047, 3.95957, -1, -1
7, 2.63718, 58770, 325521, 21.7047, 3.95979, -1, -1
8, 0.776475, 58770, 325521, 21.7047, 3.95951, -1, -1
9, 0.459926, 58770, 325521, 21.7047, 3.95754, -1, -1
6, 0.152043, 58770, 325521, 21.7047, 3.95754, -1, -1
7, 2.7079, 58754, 325423, 21.7047, 3.95776, -1, -1
8, 0.767999, 58754, 325419, 21.7047, 3.95739, -1, -1
9, 0.586972, 58754, 325419, 21.7047, 3.95542, -1, -1
6, 0.184902, 58754, 325419, 21.7047, 3.95542, -1, -1
7, 2.6118, 58747, 325375, 21.7047, 3.95554, -1, -1
8, 0.744322, 58747, 325371, 21.7047, 3.95522, -1, -1
9, 0.47159, 58747, 325371, 21.7047, 3.95346, -1, -1
6, 0.149025, 58839, 325839, 21.7047, 3.95509, -1, -1
7, 2.9089, 58754, 325410, 21.7047, 3.95367, -1, -1
8, 0.752908, 58754, 325407, 13.2557, 3.95304, -1, -1
9, 0.429334, 58754, 325407, 11.3977, 3.95077, -1, -1
6, 0.151841, 58779, 325520, 11.3977, 3.95103, -1, -1
7, 2.98419, 58745, 325355, 11.3977, 3.95088, -1, -1
8, 0.746837, 58745, 325355, 11.3977, 3.95053, -1, -1
9, 0.438757, 58745, 325355, 11.4105, 3.94866, -1, -1
6, 0.155155, 59922, 331741, 16.4391, 3.99211, -1, -1
7, 3.29995, 59006, 326970, 9.8189, 3.94996, -1, -1
8, 0.849673, 59006, 326915, 9.8189, 3.94755, -1, -1
9, 0.627733, 59006, 326915, 9.618, 3.94125, -1, -1
7, 2.75693, 58949, 326580, 9.618, 3.9414, -1, -1
4, 58.345, 58949, 326580, 9.618, 3.9414, -1, -1
5, 0.152031, 881, 2456, 9.618, 4.45661, -1, -1
-1, 68.9386, 881, 2456, 9.618, 4.45661, 0, 186
